assignment3_4_regions_10metrics_template,,,,,,,,,,,,
country,iso3,region,happy planet index.1 (2019),human development index.1 (2021),GDP per capita in $ (2021),Economic Growth (2021 or latest),Health expenditure % of GDP(2021 or latest),Health Expenditure per person (2019),infant mortality (2020),"education expenditure
% of GDP.2 (2021 or latest year)",Unemployment % (2021),CO2e emissions per capita (2019)
Laos,LAO,,42.8,0.607,8674.03369483136,2.52835100103448,2.23000001907349,68.22131348,6,2.23000001907349,1.25800001621246,2.60968183422462
Latvia,LVA,,34.1,0.863,34468.6021095498,4.48209539940108,4.24356985092163,1166.79785156,,,7.59999990463257,3.95543586167438
Lebanon,LBN,,39,0.706,10691.21531579,-10.5193894162206,2.52447009086609,663.05108643,58.1,2.59202003479004,14.4879999160767,4.07689427350833
Lesotho,LSO,,27.3,0.514,2682.23552809652,1.01587081905888,8.70264053344727,124.19363403,7.66516992182274,8.70264053344727,24.5979995727539,0.362307409340339
Liberia,LBR,,46,0.481,1552.80721166626,4.0000099975916,2.69217944145203,52.56287003,9.5,2.69217944145203,4.09499979019165,0.238993430019259
Libya,LBY,,42.7,0.718,23356.604957775,31.3724222267248,,,22,,19.5839996337891,8.38072934435112
Lithuania,LTU,,36.9,0.875,42665.3229305411,5.00350076587901,3.89293003082275,1369.97949219,2.3,,7.90299987792969,4.19807602212644
Luxembourg,LUX,,31.7,0.93,134753.797686064,6.88656770842904,3.64749002456665,6220.74121094,3.4,,5.22700023651123,15.3064265559542
Macedonia,MKD,,43.9,,17918.0770676768,3.96426417144993,6.30000019073486,436.88717651,,,16.2029991149902,3.99673721344351
Madagascar,MDG,,44.2,0.501,1635.4180120781,4.40233999987778,3.09570622444153,19.84997559,5.5,3.09570622444153,2.59400010108948,0.152766255296265
Malawi,MWI,,38.7,0.512,1658.33441792543,2.75141640762955,2.90761995315552,30.40028763,7.4,2.90761995315552,7.02099990844727,0.0778366839170854
Malaysia,MYS,,41.7,0.803,29617.2967566026,3.13258966090125,3.91697001457214,436.61203003,5.3,3.91697001457214,4.60900020599365,7.92712603743521
Maldives,MDV,,,0.747,18232.2447260345,30.9628422550665,4.12159013748169,854.37060547,17.8,4.12159013748169,6.07800006866455,3.97395626217534
Mali,MLI,,39.3,0.428,2447.324282737,3.06987004655758,3.76343131065369,34.28177643,5.6,3.76343131065369,7.71999979019165,0.29657101956316
Malta,MLT,,43.5,0.918,47714.4521686333,9.4135383709695,,2531.91088867,35,,3.49900007247925,3.29324560594014
Mauritania,MRT,,34.7,0.556,5591.83473986426,2.29974854129526,1.88116002082825,57.88484573,14.8,15.75,11.4630002975464,0.872793555310964
Mauritius,MUS,,51.5,0.802,22240.1349561848,4.04021973384492,4.60817003250122,685.94561768,29,1.88116002082825,7.41400003433228,3.29459100560393
Mexico,MEX,,54.3,0.758,20036.4553884275,4.79719174934905,4.2542200088501,540.37231445,25.5,4.60817003250122,4.37900018692017,3.52160004771504
Moldova,MDA,,51,0.767,15637.2403720663,13.9445896006365,6.38872003555298,284.30712891,36.3,6.38872003555298,3.96199989318848,3.32461016755783
Mongolia,MNG,,24.5,0.739,12862.746927421,1.42100909686505,4.94088983535767,163.44186401,,4.94088983535767,7.08199977874756,
Montenegro,MNE,,41.3,0.832,22795.4072702571,12.4343589851741,,735.15887451,13.2,,18.4869995117188,7.15312008585735
Morocco,MAR,,50.9,0.683,8143.525390625,7.3727276184739,6.75430202484131,174.22377014,2.5,6.75430202484131,11.4670000076294,1.95987228468546
Mozambique,MOZ,,44.2,0.446,1342.29012106273,2.22481926808254,6.26058864593506,39.46094131,49,6.26058864593506,3.98200011253357,0.246986411762639
Myanmar,MMR,,40,0.585,4344.94316820411,-17.9847423373262,2.15748000144959,60.01587296,19.1306991631138,2.13986992835999,2.17300009727478,0.679428522562061
Namibia,NAM,,36.8,0.615,9805.18187897016,2.43063985834007,9.6404914855957,427.25622559,,9.6404914855957,21.67799949646,1.69170542764537
Nepal,NPL,,53.1,0.602,15102.6610390683,4.24694014145481,4.3899998664856,53.24640274,23.8,4.3899998664856,5.05200004577637,0.470136453499051
Netherlands,NLD,,54.9,0.941,63766.8871132125,5.03590202448922,5.35764980316162,5335.30126953,1.8,,4.01000022888184,8.43707462722941
New Zealand,NZL,,57.4,0.937,46419.5086997581,4.64680674951514,6.04850006103516,4211.04638672,5.74955118003866,,4.12400007247925,6.83041418732592
Nicaragua,NIC,,55.2,0.667,6331.67249916797,10.3449290198086,4.63000011444092,160.75878906,3.6,4.63000011444092,5.95699977874756,0.80054959429675
Niger,NER,,41.4,0.4,1309.8144985003,1.35205374879854,3.83761262893677,31.39763641,72.2,3.83761262893677,0.750999987125397,0.0922322514104962
Nigeria,NGA,,34.1,0.535,5459.15859838337,3.64718654100696,,71.46572876,13.8,,9.78800010681152,0.573636206051187
Norway,NOR,,50.9,0.961,79201.23024678,3.92266520973057,7.64411020278931,8007.39794922,23.6,,4.9850001335144,6.7222699848575
Oman,OMN,,,0.816,,-3.2,5.41320991516113,624.7444458,35.3120657231634,5.41320991516113,3.12199997901917,15.2824363897061
Pakistan,PAK,,45.1,0.544,5877.64257977287,6.0297520826943,2.50755000114441,39.49928665,12.3,2.50755000114441,4.35200023651123,0.879965499388893
Panama,PAN,,57.9,0.805,31680.1860110126,15.335819064068,3.90607142448425,1192.82080078,10,3.90607142448425,12.0880002975464,3.1414549958525
Papua New Guinea,PNG,,,0.558,4445.36476879927,1.49999999999999,1.8748300075531,65.08071899,3.7,,2.75200009346008,0.863707513959878
Paraguay,PRY,,47.6,0.717,13975.858226826,4.19988166614141,3.30362153053284,388.39324951,14.2,3.30362153053284,7.20599985122681,1.16542523160477
Peru,PER,,55.9,0.762,13895.2758164137,13.3495090777977,4.24667978286743,370.10995483,20.9,4.24667978286743,4.83300018310547,1.74559192668502
Philippines,PHL,,57.1,0.699,9119.69335803543,5.70315596840621,3.88000011444092,142.07876587,15.7,3.88000011444092,2.40599989891052,1.34502905731688
Poland,POL,,45,0.876,37502.5598711804,5.73258169571089,4.61579990386963,1014.03820801,52.4287970327087,,3.36800003051758,7.77364183861292
Portugal,PRT,,46.3,0.866,35888.1653780986,4.88121010306581,4.67515993118286,2221.43920898,16.2,,6.64699983596802,4.33976842606964
Qatar,QAT,,24.3,0.855,93521.4417979602,1.52339735592098,3.2336699962616,1807.15393066,5.6,3.2336699962616,0.257999986410141,32.4744687618012
Romania,ROU,,46.2,0.821,35413.9905779938,5.87966788545822,3.34474992752075,738.5581665,4.4,,5.16900014877319,3.81743447683141
Russia,RUS,,34.9,0.822,32803.35546875,4.81979165963526,4.67819976806641,653.41723633,30.3,,5.01000022888184,11.7972029330523
Rwanda,RWA,,39.2,0.534,2494.05057169716,10.88451916081,3.82156157493591,51.39912415,31.8,3.82156157493591,1.60699999332428,0.105330369319572
Saudi Arabia,SAU,,41.6,0.875,49551.3345710076,3.2409297684805,7.80931377410889,1316.26025391,39.9,7.80931377410889,7.35799980163574,15.2845787251876
Senegal,SEN,,51.2,0.511,3768.66714912817,6.06449596752137,5.49785804748535,59.09758377,1.8,5.49785804748535,3.72300004959106,0.651679183707327
Serbia,SRB,,53.2,0.802,21432.4103390487,7.3892708902237,3.58231997489929,641.02502441,50.262233041509,3.61647009849548,11.8070001602173,6.61604693907974
Sierra Leone,SLE,,29,0.477,1816.17027050934,3.05020269465146,8.80955028533936,46.15795517,11.1,8.80955028533936,5.33300018310547,0.115189572752666
Singapore,SGP,,45.5,0.939,116486.473211409,7.61396261502647,2.50665998458862,2632.71386719,16.6,2.50665998458862,3.62400007247925,8.30707949147546
Slovakia,SVK,,46.6,0.848,33010.2907484654,3.02047175095616,3.97256994247437,1342.0748291,1.8,,6.73999977111816,5.69841625532024
Slovenia,SVN,,47.9,0.918,43624.6732149672,8.11455809854249,4.93587017059326,2219.10058594,2.1,,4.4229998588562,6.51220937780615
Solomon Islands,SLB,,,0.564,2656.10060307749,-0.177260016223329,12.75,111.90448761,80.1,12.75,1.02900004386902,0.537457043456558
Somalia,SOM,,,,1302.45251909923,3.33443080651648,,,4.9,,19.8649997711182,0.0446807095514156
South Africa,ZAF,,36.2,0.713,14420.1743171499,4.91460266078032,6.19288015365601,546.68841553,41.7,6.19288015365601,33.5589981079102,7.5077360921292
South Sudan,SSD,,,0.385,,,,22.63818741,50.3,,13.914999961853,0.153677682917001
Spain,ESP,,52.3,0.905,40775.2786245716,5.1294551274826,,2711.19287109,1.7,,14.7329998016357,5.09135092007508
Sri Lanka,LKA,,46.8,0.782,14127.2112794587,3.65563225648573,1.92999994754791,160.69696045,33.9,1.92999994754791,5.39499998092651,1.09067562659476
Sudan,SDN,,39.6,0.508,4217.220703125,0.1145882139473,,46.92884064,28.9,,19.8050003051758,0.481626765087475
Suriname,SUR,,,0.73,16675.6383834045,-3.47866419294991,5.00707244873047,619.24713135,4.7,5.00707244873047,10.0649995803833,4.55825378527259
Sweden,SWE,,50.5,0.947,59323.9646115324,4.80061158193283,7.64084005355835,5671.38574219,37.4,,8.66100025177002,3.4050379189887
Switzerland,CHE,,60.1,0.962,77324.0881086006,3.69215262984311,4.86325979232788,9666.33789063,,,5.32100009918213,4.35904146198319
Syria,SYR,,,0.577,,,,,,,10.5729999542236,1.50613944194882
Taiwan,TWN,,43.2,,,,,,,,,
Tajikistan,TJK,,55.2,0.685,4288.360974587,9.2001904308498,5.71290016174316,61.87225342,36.1,5.71290016174316,7.75400018692017,1.01061869242185
Tanzania,TZA,,37,0.549,2932.62622070313,4.27908454176213,3.29779028892517,40.34330368,31.9,3.29779028892517,2.6489999294281,0.214634960133583
Thailand,THA,,52.9,0.8,19209.4924392491,1.5662953378874,2.96898007392883,296.1651001,28.4,2.96898007392883,1.41799998283386,3.83609001895282
Timor-Leste,TLS,,,0.607,4417.58413992239,4.39999845848935,,92.67004395,19.211223434857,,5.07399988174438,0.479460533259382
Togo,TGO,,37.3,0.539,2380.16542787272,5.26059492471809,3.99124622344971,51.1550293,7.4,3.99124622344971,4.00400018692017,0.29323120707198
Trinidad and Tobago,TTO,,31.6,0.81,26868.0927188784,-0.985307672969697,4.10374021530151,1167.93310547,14.3,4.10374021530151,4.80499982833862,12.3228548692176
Tunisia,TUN,,43.9,0.731,11594.720674923,3.34280246868977,,233.05931091,8.1,,16.8239994049072,2.55756420759521
Turkiye,TUR,,41.3,0.838,30472.3799332242,10.9861809949254,,396.46682739,18.7,,13.3859996795654,4.75658474979861
Turkmenistan,TKM,,33,0.745,,6.3,3.12065005302429,500.00643921,13.9215504694254,3.12065005302429,5.08099985122681,12.2633540880676
Uganda,UGA,,44.8,0.525,2397.76100479307,3.37963342151906,2.66505312919617,32.40844345,6.9,2.66505312919617,2.93600010871887,0.132370788404111
Ukraine,UKR,,40.9,0.773,14219.7900390625,3.40000000000001,5.44129991531372,248.13348389,9.1,5.44129991531372,8.87899971008301,3.93658353086744
United Arab Emirates,ARE,,34.3,0.911,,-6.13,3.87986993789673,1842.69445801,7.6,3.87986993789673,3.35800004005432,19.3295632814806
United Kingdom,GBR,,56,0.929,49675.3046742775,7.44127309273938,,4312.88916016,8.2,,4.52600002288818,5.22051448799294
United States,USA,,37.4,0.921,69287.536587952,5.67110719074167,,10921.01269531,12.5,,5.46400022506714,14.6734106066885
Uruguay,URY,,57.5,0.809,24625.4513438955,4.36700931298061,4.70325994491577,1660.95288086,5.4,4.70325994491577,10.4469995498657,1.87478454308499
Uzbekistan,UZB,,54.1,0.727,8497.44830751161,7.42011024158735,4.92279005050659,98.57316589,12.9,4.92279005050659,7.16099977493286,3.47554445038462
Venezuela,VEN,,48.9,0.691,,,,338.82537842,,,6.41300010681152,3.93956620857458
Vietnam,VNM,,48.4,0.703,11553.0699243664,2.58892450154917,4.06197023391724,180.71818542,21.1,4.06197023391724,2.16599988937378,3.4883126360288
Yemen,YEM,,44.6,0.455,,-2.0615130508999,,,25.8,,13.5740003585815,0.380633360910495
Zambia,ZMB,,34.4,0.565,3623.85491327044,3.57281530331926,3.7024028301239,69.32437897,37.9,3.7024028301239,13.0260000228882,0.38071705091289
Zimbabwe,ZWE,,28.6,0.593,2444.47823730257,5.84941976162474,3.86611008644104,103.02827223,,,5.17399978637695,0.802978519634142
